Data,Vazao,Precipitacao
1941-01,116.33680000000001,198.68
1941-02,91.65372857142857,121.83
1941-03,100.48919032258065,119.50999999999999
1941-04,90.28913333333334,61.22
1941-05,60.69985806451613,19.46
1941-06,56.145653333333335,15.15
1941-07,54.76591612903226,53.19
1941-08,45.229941935483865,1.47
1941-09,53.688633333333335,123.81
1941-10,60.00159032258065,115.26
1941-11,79.05122333333334,242.04
1941-12,127.25242903225806,327.35
1942-01,153.53329032258065,275.69
1942-02,94.62562857142858,144.13
1942-03,113.19454516129034,156.63
1942-04,80.69684000000001,58.0
1942-05,71.61357096774194,60.45
1942-06,58.149906666666666,7.37
1942-07,52.16357096774193,7.6000000000000005
1942-08,46.766883870967746,3.9200000000000004
1942-09,45.15673666666667,55.53
1942-10,67.92318387096775,194.31
1942-11,94.63511,218.02
1942-12,189.79039677419354,495.77
1943-01,281.3889032258065,304.38
1943-02,187.6560357142857,216.77
1943-03,176.79583870967744,207.69
1943-04,116.9845,21.66
1943-05,91.64995483870968,2.09
1943-06,83.71594333333334,38.03
1943-07,69.37618387096775,0.91
1943-08,64.41182903225807,26.78
1943-09,58.72398333333333,42.01
1943-10,66.80175483870968,150.96
1943-11,64.94619666666667,129.46
1943-12,150.42780322580646,347.01
1944-01,109.24264193548386,177.31
1944-02,188.75827586206896,312.1
1944-03,142.76883870967742,195.34
1944-04,100.64388333333333,54.46
1944-05,79.67000967741936,4.75
1944-06,67.71506333333333,4.2
1944-07,59.04279677419355,2.63
1944-08,51.99682580645161,2.55
1944-09,46.94348333333333,8.89
1944-10,50.504238709677416,201.60999999999999
1944-11,55.38240666666666,109.81
1944-12,104.7884935483871,416.81
1945-01,153.55874516129032,460.11
1945-02,141.53645,217.98
1945-03,117.25090322580645,303.4
1945-04,106.85722000000001,163.56
1945-05,78.34735161290322,52.89
1945-06,71.01192666666665,70.0
1945-07,59.35506451612903,1.46
1945-08,51.32625161290323,22.75
1945-09,47.07384666666667,64.76
1945-10,53.56347741935483,229.52
1945-11,73.42803666666667,320.18
1945-12,122.64254193548386,369.46999999999997
1946-01,124.8103935483871,179.89000000000001
1946-02,80.27145,111.64
1946-03,83.12621935483871,193.68
1946-04,80.62012333333334,97.7
1946-05,60.55875806451613,33.49
1946-06,51.31688666666666,12.85
1946-07,45.01071935483871,3.85
1946-08,39.53338064516129,0.75
1946-09,39.34259333333333,84.59
1946-10,44.9608935483871,134.73
1946-11,62.27118333333333,240.11
1946-12,82.72892903225805,276.75
1947-01,130.28649354838709,319.31
1947-02,98.15613214285715,196.16
1947-03,134.05580322580647,290.2
